property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Habitación,44.0,4.3,37.0,10.0,,1.0,0.5,4.0,780.0,720.0,11.0,0,6,2,0,1,8,0,0,1,0,3,0,1
Habitación,51.0,0.0,0.0,50.0,,2.0,0.5,2.0,900.0,660.0,9.0,0,3,1,0,8,1,0,0,1,0,1,0,1
Alojamiento entero,169.0,4.86,208.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1,4,2,0,12,8,1,1,2,1,0,4,4
Alojamiento entero,130.0,5.0,3.0,,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0,4,2,1,11,7,0,0,2,0,0,1,0
Habitación,50.0,4.53,19.0,20.0,,1.0,0.0,2.0,900.0,660.0,9.0,0,6,1,0,13,8,2,2,1,0,1,0,3
Alojamiento entero,126.0,4.6,338.0,0.0,,2.0,1.0,2.0,900.0,660.0,9.0,0,2,1,0,1,3,1,0,1,0,0,2,1
Alojamiento entero,108.0,4.68,419.0,80.0,3.0,3.0,1.0,4.0,,720.0,,2,4,2,1,13,8,1,1,2,3,0,0,2
Alojamiento entero,102.0,4.82,570.0,45.0,1.0,1.0,1.0,2.0,840.0,660.0,10.0,1,7,3,2,14,9,2,3,2,0,0,0,3
Habitación,44.0,4.3,37.0,10.0,,1.0,0.5,4.0,780.0,720.0,11.0,0,6,2,0,1,8,0,0,1,0,3,0,1
Habitación,42.0,4.5,8.0,15.0,,1.0,0.5,2.0,,660.0,,0,3,1,0,5,2,1,0,2,0,1,0,1
Alojamiento entero,99.0,4.91,0.0,20.0,,1.0,1.0,2.0,840.0,660.0,10.0,1,5,2,2,11,6,1,2,2,0,0,0,0
Alojamiento entero,99.0,4.56,234.0,80.0,3.0,5.0,1.0,5.0,840.0,600.0,10.0,2,3,2,1,12,8,2,2,2,0,0,0,1
Alojamiento entero,74.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,900.0,660.0,9.0,1,2,0,0,5,0,2,0,2,0,0,1,0
Habitación,96.0,4.72,107.0,0.0,1.0,2.0,1.0,2.0,,660.0,,2,4,3,0,1,8,1,0,2,1,0,4,4
Habitación,44.0,4.77,140.0,20.0,,1.0,0.5,1.0,900.0,720.0,9.0,0,3,1,0,0,7,0,0,2,0,1,0,1
Alojamiento entero,70.0,0.0,0.0,50.0,2.0,5.0,1.0,6.0,900.0,660.0,9.0,2,3,3,0,9,4,1,0,2,0,0,0,0
Alojamiento entero,103.0,4.65,26.0,30.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0,4,2,0,11,9,1,0,2,0,0,0,1
Habitación,37.0,3.75,4.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,0,0,0,1,1,0,0,1,0,3,0,0
Habitación,35.0,4.3,63.0,18.0,,1.0,0.5,1.0,900.0,660.0,9.0,0,2,0,0,0,3,0,0,1,0,2,0,1
