prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
101.0,4.49,1204.0,0.0,1.0,1.4,1.0,2.0,900.0,660.0,9.0,1.0,4.0,2.0,1.0,0.0,7.0,2.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
94.0,4.34,109.0,110.0,4.0,7.0,2.0,5.0,900.0,660.0,9.0,2.0,2.0,2.0,1.0,11.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
51.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
104.0,4.92,37.0,65.0,2.0,2.0,1.0,4.0,900.0,600.0,9.0,1.0,4.0,2.0,0.0,9.0,5.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0
106.0,0.0,2.0,60.0,3.0,3.0,2.0,4.0,960.0,660.0,8.0,2.0,3.0,2.0,0.0,10.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
62.0,0.0,2.0,20.0,1.0,1.0,0.5,1.0,780.0,630.0,11.0,2.0,5.0,2.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
100.0,4.63,8.0,60.0,3.0,3.0,2.0,5.0,900.0,660.0,9.0,1.0,6.0,3.0,0.0,13.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,4.8,573.0,50.0,3.0,3.0,2.0,5.0,900.0,660.0,9.0,3.0,7.0,2.0,1.0,16.0,10.0,2.0,0.0,2.0,8.0,0.0,2.0,2.0,0.0,0.0
107.0,0.0,0.0,50.0,1.0,2.0,1.0,3.0,900.0,660.0,9.0,1.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50.0,4.69,87.0,20.0,1.0,1.0,0.5,2.0,780.0,660.0,11.0,0.0,5.0,2.0,2.0,14.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0
87.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,900.0,660.0,9.0,0.0,2.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
102.0,4.73,147.0,80.0,3.0,3.0,1.0,4.0,924.0,720.0,8.6,2.0,3.0,2.0,1.0,13.0,8.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0
35.0,4.31,154.0,30.0,1.0,1.0,0.5,2.0,840.0,600.0,10.0,2.0,4.0,1.0,4.0,12.0,7.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0
40.0,4.83,6.0,0.0,1.0,1.0,0.5,2.0,930.0,618.0,8.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
89.0,4.74,638.0,0.0,2.0,5.0,1.0,4.0,840.0,600.0,10.0,3.0,5.0,3.0,1.0,12.0,9.0,3.0,3.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0
76.0,4.61,470.0,50.0,2.0,2.0,1.0,3.0,840.0,600.0,10.0,1.0,3.0,4.0,1.0,12.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
23.0,4.23,366.0,0.0,1.0,10.9,0.5,1.0,900.0,600.0,9.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
